Question,Option A,Option B,Option C,Option D,Correct Answer,Points
Which type of radiation is commonly used in pathological laboratories inside test tubes for bacterial elimination?,Infrared radiation,Ultraviolet radiation,Gamma radiation,Microwave radiation,b,1
Which of the following is an example of a Class II lever?,Seesaw,Wheelbarrow,Tweezers,Pliers,b,1
The wave nature of electrons was experimentally proven by which experiment?,Michelson-Morley experiment,Davisson and Germer experiment,Rutherford's experiment,Millikan's oil drop experiment,b,1
The particle 'Boson' is associated with which scientist's name?,Albert Einstein,S.N. Bose,Isaac Newton,C.V. Raman,b,1
What is the speed of tape in a tape recorder?,2.54 cm/second,9.52 cm/second,4.76 cm/second,1.27 cm/second,c,1
Which type of electricity generation has the largest share?,Hydro electricity,Nuclear electricity,Solar electricity,Thermal electricity,d,1
Why does 'Free Play' occur in steering?,Due to over-tightening of the steering,Due to the steering being loose,Due to lack of lubrication,Due to worn-out tires,b,1
Which type of ray is used in CT Scanning?,Gamma-ray,Infrared-ray,X-ray,Ultraviolet-ray,c,1
A lemon squeezing machine is an example of which class of lever?,First class lever,Second class lever,Third class lever,Fourth class lever,b,1
Vikram Sarabhai was known as a great scientist and also:,A renowned politician,A famous actor,A great industrialist who established many industries in India,A celebrated author,c,1
What happens to air pressure while climbing mountains?,Increases,Decreases,Remains constant,Fluctuates unpredictably,b,1
"If the electronic configuration of an element is 2, 8, 4, what is the name of the element?",Aluminum,Magnesium,Sodium,Silicon,d,1
Which metal is used in the electroplating of cans for storing food?,Aluminum (Al),Zinc (Zn),Tin (Sn),Iron (Fe),c,1
Which of the following was NOT required for Radiation?,Energy source,Medium,Emitter,Detector,b,1
Why does water remain cool in an earthen pot?,Due to condensation,Due to osmosis,Due to evaporation,Due to conduction,c,1
From where do automatic wristwatches get energy?,From solar power,From battery,From various movements of our hand,From atomic energy,c,1
"When there is a half-moon, what is the angle between the Sun, Earth, and Moon?",180∘,45∘,90∘,0∘,c,1
Television signals cannot be received after a certain distance because:,The signals are absorbed by the atmosphere,The surface of the Earth is curved,The signals lose energy over distance,The receivers are not sensitive enough,b,1
"Match the following inventions with their inventors:

Column I
(A) Radio
(B) Scooter
(C) Lift (Elevator)

Column II
(1) G. Bradshaw
(2) Guglielmo Marconi
(3) Elisha Graves Otis

Choose the correct sequence:","A-1, B-2, C-3","A-2, B-1, C-3","A-3, B-2, C-1","A-2, B-3, C-1",b,1
What percentage of Nitrogen does Ammonium Sulfate contain?,10%,50%,20%,30%,c,1
Which source contributes the largest share to electricity generation?,Hydro electricity,Nuclear electricity,Solar electricity,Thermal electricity,d,1
What causes 'Free Play' in steering mechanisms?,Excessive lubrication,Steering being loose,Worn tires,Faulty alignment,b,1
Which type of radiation is employed in CT Scanning?,Infrared,Ultraviolet,X-ray,Gamma ray,c,1
Stephen Hawking is best known as a:,Physicist,Mathematician,Scientist,Economist,c,1
Vikram Sarabhai is notable for being a scientist and:,Politician,Industrialist,Musician,Philanthropist,b,1
Guglielmo Marconi invented what in the 1890s?,Television,Telephone,Radio,Telegraph,c,1
In what year was the scooter invented in Britain by G. Bradshaw?,1909,1919,1929,1939,b,1
Who invented the lift (elevator) in 1852 AD?,Henry Ford,Thomas Edison,Elisha Graves Otis,Nikola Tesla,c,1
The light ray used in pathological laboratories for bacterial elimination is:,Infrared radiation,Gamma radiation,Ultraviolet radiation,Visible light,c,1
'Free Play' in steering is primarily caused by:,Excessive lubrication,Steering being loose,Low tire pressure,Worn out engine mounts,b,1
Which of the following is used in CT Scanning?,Microwaves,Ultrasound,X-ray,Infrared,c,1
"Vikram Sarabhai, besides being a scientist, was also a great:",Politician,Industrialist,Athlete,Musician,b,1
Elisha Graves Otis invented the lift (elevator) in which year?,1842 AD,1852 AD,1862 AD,1872 AD,b,1
Water remains cool in an earthen pot due to:,Conduction,Convection,Radiation,Evaporation,d,1
What is the largest contributor to electricity generation?,Hydro electricity,Nuclear electricity,Solar electricity,Thermal electricity,d,1
What is the primary cause of 'Free Play' in steering?,Worn out tires,Loose steering components,Low tire pressure,Defective suspension,b,1
"Besides being a scientist, Vikram Sarabhai was known for what other profession?",Politician,Industrialist,Doctor,Lawyer,b,1
G. Bradshaw invented which of the following in Britain in 1919?,Motorcycle,Automobile,Scooter,Bicycle,c,1
Which of the following does NOT denature protein?,Ultraviolet rays,Gamma rays,Infrared rays,Microwaves,c,1
A person standing on a sensitive scale takes a deep breath in. What will happen to the scale reading?,Decrease,Remain constant,Increase,Fluctuate erratically,c,1
What constitutes the largest share in energy production in India?,Nuclear energy,Hydroelectric energy,Solar energy,Thermal energy,d,1
The terminals of a simple torch cell are composed of:,Copper-Silver,Aluminum-Nickel,Zinc-Carbon,Lead-Acid,c,1
"When traveling in a car during a thunderstorm, what is the safest course of action to protect yourself from lightning?",Exit the car and lie flat on the ground.,Seek shelter under a tall tree.,To stay in the car.,Touch any metallic part of the car.,c,1
X-rays capable of penetrating matter over a long distance are known as:,Soft X-rays,Gamma rays,Hard X-rays,Beta rays,c,1
The rain-proof property of raincoats and tents is attributed to:,Viscosity,Elasticity,Buoyancy,Surface Tension,d,1
Fish are able to survive in a frozen lake due to what reason?,They hibernate in the ice.,They have a high tolerance for freezing temperatures.,Fish go to the bottom of the lake where water is at 4∘C.,They produce antifreeze compounds.,c,1
Why are television signals unable to be received after a certain distance?,Atmospheric interference.,Signal degradation.,The surface of the earth is curved.,Lack of signal amplification.,c,1
Which of the following is NOT an example of a perfectly inelastic collision?,Dropping a ball of clay on the floor.,A car crash.,Kicking a football by a player.,A bullet embedding in a wooden block.,c,1
"According to the provided text, what happens to the resistance of semiconductors on increasing the temperature?",Decreases,Remains constant,Increases,Becomes zero,c,1
"At zero Kelvin temperature, Silicon behaves as a/an:",Conductor,Semiconductor,Superconductor,Insulator,d,1
Which law states that the rate of diffusion of gases is inversely proportional to the square root of their density under similar conditions of temperature and pressure?,Boyle's Law,Charles's Law,Graham's Law,Avogadro's Law,c,1
What is being promoted across the country to save energy?,Incandescent Bulbs,Compact Fluorescent Lamps (CFL),Halogen Lamps,Light Emitting Diode Lamps (LED),d,1
Which type of energy production has the largest share in India?,Hydro energy,Nuclear energy,Solar energy,Thermal energy,d,1
The terminals of a simple torch cell are typically made of what materials?,Copper-Aluminum,Zinc-Carbon,Lead-Acid,Nickel-Cadmium,b,1
Fish survive in a frozen lake because:,They hibernate in the ice.,They have a special antifreeze in their blood.,Fish go to the bottom of the lake where water is at 4°C.,The ice insulates them from the cold.,c,1
Which type of ray does NOT denature protein?,Ultraviolet rays,Gamma rays,Infrared rays,Microwaves,c,1
Which energy source accounts for the largest share in energy production in India?,Nuclear energy,Hydro energy,Solar energy,Thermal energy,d,1
The total energy per unit mass of a flowing fluid at any point in the subsurface is constant. This is stated by:,Newton's Law,Einstein's Theory,Daniel Bernoulli,Pascal's Law,c,1
Television signals cannot be received beyond a specific distance due to:,Atmospheric interference,Signal degradation,The surface of the earth is curved.,Lack of transmission power,c,1
"At zero Kelvin temperature, what is Silicon considered to be?",A conductor,A semiconductor,An insulator,A superconductor,c,1
In what year did Austrian scientist Christian Doppler discover the Doppler effect?,1848,1852,1842,1832,c,1
Which scientist is known for using radio waves to transmit signals over several kilometers in the 1890s?,Henry Cavendish,Victor Franz Hess,Guglielmo Marconi,James Prescott Joule,c,1
In what year did Henry Cavendish describe the measurement of the gravitational constant along with the mass and density of the Earth?,1790,1798,1890,1826,b,1
What are the main energy sources for the Earth's internal heat engine?,Solar Energy and Geothermal Energy,Radiogenic heat and Geothermal Energy,Solar Energy and Primordial heat,Radiogenic heat and Primordial heat,d,1
Victor Franz Hess is renowned for the discovery of which of the following?,Zeeman Effect,Van Allen Belts,Cosmic Radiation,Chandrasekhar Limit,c,1
"Radiation belts surrounding the Earth, composed of highly energetic charged particles, are also known as:",Hess Belts,Zeeman Belts,Joule Belts,Van Allen Belts,d,1
A wooden bat is classified as what type of object in terms of light transmission?,Transparent,Translucent,Opaque,Luminous,c,1
James Prescott Joule is credited with outlining the basis of which scientific principle?,Zeeman Effect,Principle of Conservation,Supercooling,Rotational Equilibrium,b,1
Which daily morning task is cited as an example related to quantum mechanics?,Making coffee,Ringing of the alarm clock,Reading the newspaper,Checking emails,b,1
The property of metals to produce a ringing sound when struck is known as:,Volatility,Adsorption,Sonority,Radiation,c,1
Jean Baptiste Perrin was awarded the Nobel Prize in Physics in 1926 for his work on:,Cosmic Radiation,The discontinuous structure of matter,The Zeeman Effect,Conservation of Energy,b,1
"Which type of high-frequency radiation, produced in nuclear reactions, is used in medicine to destroy cancer cells?",Alpha rays,Beta rays,Gamma rays,X-rays,c,1
"What is the predicted outcome if a glass bottle, completely filled and sealed with water, is placed in a freezer?",The bottle will remain intact.,The water will evaporate.,The ice will sublimate.,Eventually ice will break the glass bottle.,d,1
The splitting of a spectral line into multiple components when a light source is placed in a magnetic field is known as the:,Cavendish Effect,Perrin Effect,Zeeman Effect,Joule Effect,c,1
What does 'supercooling' imply in the context of cooling a liquid?,Cooling to boiling point,Cooling to absolute zero,Cooling below freezing point,Cooling to room temperature,c,1
Why is alcohol more volatile than water?,Its freezing point is higher than water.,Its density is greater than water.,Its boiling point is less than water.,Its viscosity is higher than water.,c,1
Which material is identified as the best adsorbent?,Silica Gel,Activated Coconut Charcoal,Alumina,Fuller's Earth,b,1
"When the vector sum of torques acting on a system is zero, what state is that object in?",Linear Equilibrium,Thermal Equilibrium,Rotational Equilibrium,Dynamic Equilibrium,c,1
The theoretically possible maximum mass for a stable white dwarf star is known as the:,Joule Limit,Perrin Limit,Cavendish Limit,Chandrasekhar Limit,d,1
The ringing of an alarm clock is an example related to which field?,Classical Mechanics,Thermodynamics,Quantum Mechanics,Electromagnetism,c,1
Who was awarded the Nobel Prize in Physics in 1926 for work on the discontinuous structure of matter?,Henry Cavendish,James Prescott Joule,Victor Franz Hess,Jean Baptiste Perrin,d,1
What is the name of the phenomenon involving the splitting of a spectral line in a magnetic field?,Supercooling Effect,Van Allen Effect,Zeeman Effect,Chandrasekhar Effect,c,1
Cooling of a liquid below its freezing point is known as?,Zeeman Cooling,Chandrasekhar Cooling,Supercooling,Rotational Cooling,c,1
Which of the following is the best adsorbent?,Activated Carbon,Coconut Water,Activated Coconut Charcoal,Normal Charcoal,c,1
A wooden bat can be classified as which type of object?,Transparent,Translucent,Opaque,Luminous,c,1
The ringing of an alarm clock is a part of what?,Thermodynamics,Classical mechanics,Quantum mechanics,Fluid dynamics,c,1
Supercooling refers to cooling a liquid to which point?,Boiling point,Critical point,Below freezing point,Triple point,c,1
Green plants convert solar energy into what form of energy?,Nuclear energy,Electrical energy,Chemical energy,Mechanical energy,c,1
"Which scientist posed the question about the absence of tourists from the future, given the possibility of time travel?",David Gross,Albert Einstein,Isaac Newton,Stephen Hawking,d,1
"The statement, 'Physics is always a gamble,' belongs to which physicist?",Stephen Hawking,Albert Einstein,David Gross,Isaac Newton,c,1
Why do stars appear to twinkle while planets do not?,Planets emit less light.,Stars are closer to the Earth.,Planets are larger than stars.,"Planets are closer to the Earth, so more light is received from them and even if there are minor changes in intensity, they are not visible.",d,1
The component primarily used for tuning a radio is a:,Resistor,Inductor,Capacitor/Condenser,Transistor,c,1
A group of solar cells connected in a specific arrangement is known as a:,Solar battery,Solar panel,Solar circuit,Solar cell panel,d,1
Which compound is typically used in prickly heat powder to reduce excessive sweating?,Sodium chloride,Citric acid,Boric acid,Sulfuric acid,c,1
In which type of equipment are transistors most commonly found?,Medical equipment,Industrial machinery,Audio equipment,Automotive systems,c,1
"If an electron and a photon possess the same wavelength, what else will they have in common?",Energy,Velocity,Frequency,Linear momentum,d,1
"In Information Technology, what technique is employed to enhance 'bandwidth'?",Data Compression,Memory Interleaving,Data Encryption,Network Routing,b,1
A closed container filled with gas inside a moving train will experience what change in temperature?,Increase,Decrease,Remain unchanged,Fluctuate,c,1
Gliders primarily utilize which form of energy for their flight?,Solar energy,Chemical energy,Wind energy,Thermal energy,c,1
A body in equilibrium:,Must be stationary,Cannot move at all,Can move with constant acceleration,Can move with constant velocity,d,1
Why does a person on a railway platform feel a pull towards a fast-approaching train?,Gravitational force,Electrostatic attraction,Difference in pressure due to fast-moving air between them (Bernoulli's principle),Magnetic field interaction,c,1
"During a thunderstorm, which event is observed first?",Thunder is heard first,Lightning and thunder occur simultaneously,Lightning is seen before thunder is heard,Neither is observed,c,1
A closed container in a fast-moving train contains some gas at atmospheric pressure and room temperature. What will happen to the temperature of the gas?,Increase,Decrease,Remain unchanged,Fluctuate,c,1
During the event of thunder and lightning in the sky:,Thunder and lightning are heard and seen simultaneously.,Thunder is seen before lightning is heard.,Lightning is seen before thunder is heard.,"Only thunder is heard, lightning is not visible.",c,1
What primary energy source do gliders depend on for their flight?,Solar energy,Fuel energy,Wind energy,Electrical energy,c,1
Which of the following best exemplifies translatory motion?,The rotation of a fan,The motion of a train,The vibration of a guitar string,The orbit of the Earth,b,1
